"","id","entidad","sexo","edad","nivel_esc","esc_cve","esc_nombre","lenguaje","cognitivas","sociales","tecnicas","puesto","year_exp","bin_year_exp","trabajos_n","palabras_n","validaciones_n","contactos_n","rimbo_n","carrera_cve","sostenimiento","experiencia","p1","p2","p3","puesto_1"
"1041",4360,15,"2","36","1",1463,"CAMPUS UNIVERSITARIO SIGLO XXI, S.C.",1,4,1,0,"4",10,1,10,120,62,365,1,6,"0","1",4,3,12000,1
"1058",4379,9,"2","32","1",712,"UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO",1,2,0,0,"4",10,1,6,62,8,237,0,3,"1","1",4,4,12000,1
"1074",4399,21,"2","34","1",2557,"BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA",1,3,1,1,"4",10,1,14,313,0,95,1,3,"1","1",4,3,11600,1
"1077",4402,15,"1","34","2",1649,"UNIVERSIDAD LUCERNA",1,2,2,0,"4",8,1,5,54,5,109,0,6,"0","1",3,2,11000,1
"1080",4405,21,"1","30","2",2609,"UNIVERSIDAD TECNOLÓGICA DE IZÚCAR DE MATAMOROS",0,0,3,0,"4",8,1,8,88,0,32,0,6,"1","1",4,4,9000,1
"1092",4418,9,"1","35","1",632,"UNIVERSIDAD INTERCONTINENTAL",1,3,2,2,"4",8,1,8,89,15,225,2,4,"0","1",5,5,13500,1
"1099",4425,9,"1","31","2",640,"UNIVERSIDAD MARISTA",1,0,2,1,"4",8,1,10,165,72,371,0,2,"0","1",4,4,12000,1
"1107",4434,9,"1","35","2",710,"UNIVERSIDAD AUTÓNOMA METROPOLITANA",1,8,2,12,"4",4,1,10,319,0,500,2,3,"1","0",3,3,14000,1
"1109",4436,9,"1","33","2",1623,"UNIVERSIDAD ANÁHUAC",1,3,5,1,"4",10,1,14,197,88,388,2,7,"0","1",5,5,12800,1
"1112",4443,9,"1","34","2",1759,"TECNOLÓGICO DE ESTUDIOS SUPERIORES DE IXTAPALUCA",0,0,0,1,"4",8,1,8,68,0,86,0,6,"1","0",5,5,13000,1
"1113",4446,13,"1","31","2",1759,"TECNOLÓGICO DE ESTUDIOS SUPERIORES DE IXTAPALUCA",1,0,0,0,"2",5,1,10,167,0,138,0,6,"1","0",4,3,12800,0
"1116",4451,15,"1","33","2",1759,"TECNOLÓGICO DE ESTUDIOS SUPERIORES DE IXTAPALUCA",1,0,0,1,"4",8,1,6,125,6,273,0,4,"1","1",4,4,12800,1
"1123",4459,9,"1","34","2",2950,"INSTITUTO TECNOLÓGICO SUPERIOR DE CAJEME",1,0,5,1,"4",10,1,4,178,80,202,2,6,"1","1",4,5,18000,1
"1128",4464,5,"1","33","2",808,"INSTITUTO TECNOLÓGICO SUPERIOR DE SAN PEDRO",1,2,3,0,"4",5,1,7,156,38,162,0,4,"1","1",3,2,11500,1
"1137",4474,9,"2","30","2",2422,"FUNDACIÓN UNIVERSIDAD DE LAS AMÉRICAS, PUEBLA",1,7,0,1,"4",10,1,10,199,472,500,0,3,"0","1",4,4,12700,1
"1138",4475,9,"2","32","2",2422,"FUNDACIÓN UNIVERSIDAD DE LAS AMÉRICAS, PUEBLA",1,7,11,5,"4",8,1,20,169,90,500,2,4,"0","1",2,3,8000,1
"1139",4476,9,"2","34","1",2422,"FUNDACIÓN UNIVERSIDAD DE LAS AMÉRICAS, PUEBLA",1,3,6,0,"2",10,1,11,103,36,500,2,4,"0","1",3,3,10000,0
"1142",4479,9,"2","36","1",2422,"FUNDACIÓN UNIVERSIDAD DE LAS AMÉRICAS, PUEBLA",1,5,3,2,"2",8,1,10,107,314,500,2,3,"0","1",4,4,10000,0
"1148",4485,9,"1","35","2",2958,"UNIVERSIDAD DE SONORA",1,8,7,2,"2",10,1,12,297,72,140,1,6,"1","1",5,4,10000,0
"1150",4490,9,"2","36","2",712,"UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO",1,2,1,1,"4",10,1,5,109,0,130,0,4,"1","1",3,2,12000,1
"1153",4493,9,"2","32","2",651,"UNIVERSIDAD TECNOLÓGICA DE MÉXICO",1,0,1,2,"4",7,1,8,216,16,58,0,2,"0","1",3,2,11000,1
"1157",4498,9,"2","35","2",3462,"UNIVERSIDAD LATINO",1,7,3,1,"4",8,1,9,99,21,155,0,3,"0","0",4,3,11600,1
"1162",2,16,"1","36","1",2169,"INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY",0,0,2,0,"4",9,1,8,68,52,500,1,4,"0","1",3,3,6000,1
"1163",3,9,"2","33","1",2169,"INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY",0,6,16,2,"4",9,1,4,166,64,500,3,3,"0","1",4,3,7000,1
"1169",12,9,"2","32","1",1024,"UNIVERSIDAD LA SALLE, A.C. - BAJÍO",0,10,17,4,"4",9,1,8,162,234,500,4,3,"0","1",5,3,12000,1
"1173",21,9,"1","34","1",645,"UNIVERSIDAD PANAMERICANA",1,6,10,0,"1",11,1,10,167,132,500,4,7,"0","1",5,5,20000,0
"1174",23,9,"1","34","1",2169,"INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY",0,6,2,7,"4",10,1,5,134,201,500,1,7,"0","1",5,4,20000,1
"1177",28,9,"1","36","2",1453,"UNIVERSIDAD DE GUADALAJARA",1,4,4,1,"4",13,1,5,108,14,96,2,9,"1","1",4,3,11800,1
"1178",29,9,"1","31","1",1771,"UNIVERSIDAD AUTÓNOMA DEL ESTADO DE MÉXICO",1,0,1,1,"4",4,1,3,77,0,4,0,9,"1","1",4,4,12600,1
"1187",43,9,"2","33","2",1453,"UNIVERSIDAD DE GUADALAJARA",0,3,6,2,"4",8,1,6,91,68,500,0,1,"1","1",3,2,11000,1
"1193",50,9,"1","30","1",1024,"UNIVERSIDAD LA SALLE, A.C. - BAJÍO",0,4,3,3,"4",5,1,10,66,83,500,0,4,"0","1",2,2,11500,1
"1197",54,9,"1","35","1",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",1,0,9,2,"4",10,1,8,96,61,500,0,9,"1","1",4,4,12000,1
"1198",55,9,"1","34","1",712,"UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO",1,3,4,0,"4",14,1,11,85,27,408,2,6,"1","1",3,2,11800,1
"1199",56,9,"1","30","1",2169,"INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY",0,8,13,5,"4",4,1,10,220,259,500,1,8,"0","0",5,5,20000,1
"1207",67,9,"1","29","2",651,"UNIVERSIDAD TECNOLÓGICA DE MÉXICO",1,3,5,0,"2",12,1,6,143,1,270,1,7,"0","0",2,2,10500,0
"1213",75,9,"1","32","2",630,"UNIVERSIDAD INSURGENTES",1,2,3,0,"2",11,1,7,270,0,233,1,3,"0","0",5,5,10500,0
"1229",94,2,"2","30","2",336,"ESCUELA DE ENFERMERÍA",1,0,0,2,"4",6,1,4,58,0,138,2,9,"1","0",3,2,10500,1
"1232",98,24,"1","31","2",2833,"UNIVERSIDAD POLITÉCNICA DE SAN LUIS POTOSÍ",0,5,4,2,"4",6,1,2,187,28,71,0,6,"1","1",3,2,12600,1
"1244",115,15,"1","31","2",147,"UNIVERSIDAD AUTÓNOMA DE BAJA CALIFORNIA",1,0,0,0,"3",7,1,3,28,0,95,2,4,"1","1",2,2,15000,1
"1249",122,9,"1","34","2",712,"UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO",1,0,1,1,"3",14,1,4,82,21,500,2,4,"1","1",4,4,22000,1
"1251",124,15,"2","32","2",364,"UNIVERSIDAD AUTÓNOMA DE CHIAPAS",1,2,3,1,"4",13,1,3,51,18,500,0,8,"1","1",3,3,16000,1
"1256",131,9,"2","33","2",2896,"UNIVERSIDAD AUTÓNOMA DE OCCIDENTE",1,0,5,1,"4",9,1,3,56,14,500,1,3,"1","1",2,2,15500,1
"1274",168,9,"1","30","2",712,"UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO",1,2,0,0,"4",7,1,7,57,0,500,0,3,"1","1",4,2,11000,1
"1278",173,15,"1","33","2",2557,"BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA",1,0,0,1,"4",7,1,3,33,18,500,1,4,"1","1",3,3,10500,1
"1294",194,9,"2","30","2",693,"INSTITUTO POLITÉCNICO NACIONAL",1,3,2,3,"4",6,1,3,68,0,500,1,4,"1","1",4,3,9000,1
"1296",197,9,"1","31","2",1024,"UNIVERSIDAD LA SALLE, A.C. - BAJÍO",1,0,5,1,"4",9,1,7,51,22,500,1,3,"0","1",2,2,7000,1
"1300",202,15,"2","36","2",640,"UNIVERSIDAD MARISTA",1,2,5,2,"1",11,1,5,51,17,500,3,3,"0","1",3,2,8500,0
"1313",225,15,"1","34","2",2169,"INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY",1,5,1,1,"4",10,1,7,103,7,500,4,7,"0","1",4,3,10500,1
"1314",226,9,"1","31","2",2687,"UNIVERSIDAD AUTÓNOMA DE QUERÉTARO",0,0,1,2,"4",7,1,3,104,0,459,4,3,"1","1",5,3,10500,1
"1315",227,9,"2","31","2",1635,"UNIVERSIDAD DEL VALLE DE MÉXICO",1,0,2,1,"4",11,1,6,75,15,500,3,3,"0","0",4,4,10500,1
"1318",230,15,"2","32","2",1902,"INSTITUTO TECNOLÓGICO DE MORELIA",1,3,0,1,"4",7,1,7,50,37,466,0,7,"1","1",3,3,9000,1
"1340",253,9,"2","33","2",712,"UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO",1,3,0,0,"4",7,1,3,29,1,104,1,5,"1","1",3,2,11000,1
"1354",267,9,"2","32","2",1402,"UNIVERSIDAD DEL VALLE DE ATEMAJAC",1,2,4,3,"4",8,1,2,56,0,20,0,10,"0","1",3,2,11000,1
"1355",270,9,"1","31","1",1008,"JUSTO SIERRA",0,3,5,0,"4",5,1,5,81,0,50,1,9,"0","1",5,4,50000,1
"1363",278,9,"2","32","1",712,"UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO",1,0,0,1,"3",10,1,2,39,0,10,0,8,"1","1",3,2,14000,1
"1367",282,9,"2","34","1",712,"UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO",1,0,0,0,"3",5,1,3,53,0,25,0,8,"1","1",3,3,16000,1
"1375",293,9,"2","29","1",659,"UNIVERSIDAD WESTHILL",0,6,8,5,"4",7,1,2,36,298,500,0,3,"0","1",5,4,15000,1
"1376",295,9,"2","32","1",1402,"UNIVERSIDAD DEL VALLE DE ATEMAJAC",1,3,3,1,"3",5,1,5,36,0,72,0,3,"0","1",3,3,16000,1
"1382",305,9,"1","33","2",2732,"UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO",1,3,3,3,"4",7,1,10,100,30,500,0,4,"0","1",2,2,10500,1
"1389",312,1,"1","35","1",2169,"INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY",1,8,7,2,"1",10,1,3,195,63,500,2,4,"0","1",4,4,9500,0
"1394",318,9,"1","32","1",1623,"UNIVERSIDAD ANÁHUAC",1,8,9,6,"4",10,1,9,196,10,500,4,7,"0","1",5,3,9000,1
"1395",320,9,"2","31","2",712,"UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO",0,8,6,2,"4",5,1,7,144,122,500,3,3,"1","0",4,4,9000,1
"1397",323,9,"2","31","1",2169,"INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY",0,15,11,7,"4",8,1,13,223,93,500,5,4,"0","1",5,5,10500,1
"1399",326,9,"2","33","1",1635,"UNIVERSIDAD DEL VALLE DE MÉXICO",1,4,3,1,"4",13,1,2,89,80,500,0,3,"0","0",3,2,11000,1
"1404",334,9,"1","31","2",3368,"INSTITUTO TECNOLÓGICO DE MINATITLÁN",1,1,8,2,"4",5,1,6,92,6,499,3,6,"1","1",2,2,6000,1
"1410",342,9,"1","31","2",460,"UNIVERSIDAD AUTÓNOMA DE CHIHUAHUA",0,1,2,2,"4",8,1,4,132,36,500,0,7,"1","1",3,3,15000,1
"1415",348,9,"1","30","1",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",1,4,8,2,"2",9,1,6,145,38,500,0,2,"1","1",3,2,16000,0
"1418",352,9,"2","31","1",712,"UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO",0,5,13,3,"4",8,1,5,216,527,500,6,3,"1","1",4,4,10500,1
"1421",356,9,"2","35","1",2169,"INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY",0,8,11,5,"4",3,1,7,236,199,500,5,4,"0","1",4,3,9500,1
"1427",363,9,"2","35","1",712,"UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO",1,1,3,2,"4",15,1,11,47,21,500,0,9,"1","1",3,3,13000,1
"1430",366,9,"1","33","1",712,"UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO",1,6,6,4,"2",10,1,6,188,35,500,2,3,"1","1",3,3,15000,0
"1431",367,9,"1","32","1",2169,"INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY",0,6,6,3,"2",10,1,7,122,6,500,3,3,"0","1",4,4,10500,0
"1434",370,9,"1","35","1",2948,"INSTITUTO TECNOLÓGICO DE SONORA",1,3,2,3,"2",6,1,5,135,58,500,0,2,"1","1",3,3,16000,0
"1435",371,9,"1","29","1",1453,"UNIVERSIDAD DE GUADALAJARA",0,3,6,6,"1",10,1,12,121,70,500,2,5,"1","1",4,4,11000,0
"1443",379,9,"1","32","1",1635,"UNIVERSIDAD DEL VALLE DE MÉXICO",0,10,13,9,"4",10,1,10,192,127,500,3,10,"0","1",5,5,11000,1
"1449",388,9,"2","33","2",1453,"UNIVERSIDAD DE GUADALAJARA",1,6,9,3,"4",10,1,4,218,289,500,0,4,"1","1",3,3,18000,1
"1451",390,9,"1","33","2",712,"UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO",1,8,13,1,"4",10,1,9,172,54,500,2,7,"1","1",4,4,20000,1
"1457",397,9,"1","34","1",712,"UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO",1,0,2,2,"4",9,1,1,37,0,40,0,9,"1","0",3,2,10500,1
"1460",400,1,"1","35","1",1770,"UNIVERSIDAD AUTÓNOMA CHAPINGO",1,2,5,0,"4",11,1,5,40,1,500,0,7,"1","1",3,3,15000,1
"1461",402,9,"1","35","1",2169,"INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY",0,3,8,3,"1",8,1,8,75,52,500,0,7,"0","1",5,5,20000,0
"1466",407,9,"2","34","2",2169,"INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY",0,1,2,1,"2",10,1,6,62,87,500,1,2,"0","0",3,3,15000,0
"1481",427,9,"2","33","1",494,"CENTRO UNIVERSITARIO EN PERIODISMO Y PUBLICIDAD",0,1,0,0,"1",10,1,0,45,0,284,0,3,"0","1",3,3,16000,0
"1484",430,9,"1","36","2",3105,"UNIVERSIDAD DEL NORESTE",0,0,0,3,"4",8,1,7,35,3,320,0,9,"0","1",3,3,15000,1
"1485",431,9,"1","33","2",3372,"INSTITUTO TECNOLÓGICO SUPERIOR DE ACAYUCAN",1,0,4,1,"4",5,1,4,23,0,136,0,7,"1","1",3,3,14000,1
"1486",432,9,"1","36","1",1635,"UNIVERSIDAD DEL VALLE DE MÉXICO",1,2,1,1,"4",10,1,5,56,7,312,0,3,"0","1",3,3,18000,1
"1491",438,9,"1","34","2",1326,"CENTRO UNIVERSITARIO DE CIENCIAS",1,0,0,1,"4",4,1,8,28,0,57,0,10,"0","1",3,3,15000,1
"1493",440,9,"2","33","1",3485,"UNIVERSIDAD AUTÓNOMA DE YUCATÁN",1,5,2,0,"4",10,1,2,39,3,68,0,5,"1","1",3,2,18000,1
"1510",459,9,"1","32","1",3480,"INSTITUTO TECNOLÓGICO SUPERIOR DE VALLADOLID",1,3,4,1,"2",8,1,2,52,0,97,0,4,"1","1",3,3,17000,0
"1517",468,9,"1","32","2",3400,"UNIVERSIDAD VERACRUZANA",1,6,3,2,"4",7,1,5,142,3,117,1,3,"1","1",4,4,16000,1
"1521",472,2,"2","32","1",142,"INSTITUTO TECNOLÓGICO DE ENSENADA",0,1,4,1,"4",8,1,9,80,34,229,1,7,"1","1",4,3,12000,1
"1522",473,2,"1","33","1",147,"UNIVERSIDAD AUTÓNOMA DE BAJA CALIFORNIA",1,3,10,1,"4",5,1,1,70,0,128,2,4,"1","1",4,3,16000,1
"1539",492,15,"1","31","1",1623,"UNIVERSIDAD ANÁHUAC",1,0,0,0,"4",6,1,8,22,0,157,0,4,"0","1",3,3,16000,1
"1556",510,16,"2","33","2",1917,"UNIVERSIDAD MICHOACANA DE SAN NICOLÁS DE HIDALGO",1,3,5,0,"4",8,1,3,88,3,44,0,4,"1","1",3,3,14000,1
"1559",514,9,"1","33","1",1453,"UNIVERSIDAD DE GUADALAJARA",0,12,16,4,"2",13,1,11,233,254,500,4,3,"1","1",5,5,10500,0
"1564",520,9,"1","31","1",2945,"INSTITUTO TECNOLÓGICO DE HERMOSILLO",0,12,10,6,"4",9,1,7,256,248,500,0,7,"1","0",3,3,15000,1
"1574",532,9,"1","31","1",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",1,17,10,6,"2",4,1,8,342,30,261,0,7,"1","1",3,2,15000,0
"1578",539,9,"2","35","1",712,"UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO",1,5,0,2,"4",10,1,7,70,70,500,0,3,"1","0",3,3,17000,1
"1579",540,9,"2","29","1",395,"ESTUDIOS SUPERIORES DE LA COMUNICACIÓN",1,3,4,0,"1",8,1,3,37,3,389,0,3,"0","1",4,4,18000,0
"1580",542,9,"1","32","1",1453,"UNIVERSIDAD DE GUADALAJARA",0,10,4,1,"4",8,1,7,90,1,193,5,5,"1","1",4,4,10000,1
"1585",550,9,"1","32","2",693,"INSTITUTO POLITÉCNICO NACIONAL",1,2,3,2,"4",8,1,5,60,7,500,0,4,"1","1",3,3,16000,1
"1589",554,9,"2","33","1",2325,"UNIVERSIDAD AUTÓNOMA BENITO JUÁREZ DE OAXACA",1,2,8,3,"4",6,1,4,129,0,77,0,9,"1","0",4,4,10000,1
"1610",579,9,"1","31","2",801,"INSTITUTO TECNOLÓGICO DE LA LAGUNA",0,2,1,2,"4",8,1,8,151,101,399,0,6,"1","1",4,4,18000,1
"1613",582,9,"2","32","2",2897,"UNIVERSIDAD AUTÓNOMA DE SINALOA",1,2,0,0,"4",4,1,5,72,2,368,0,7,"1","1",4,3,18000,1
"1615",584,9,"2","33","1",1623,"UNIVERSIDAD ANÁHUAC",0,5,2,3,"4",10,1,7,51,37,500,1,9,"0","1",4,4,15000,1
"1619",588,9,"2","30","1",1635,"UNIVERSIDAD DEL VALLE DE MÉXICO",1,2,6,2,"4",3,1,6,122,26,178,0,4,"0","1",3,3,15000,1
"1620",589,9,"1","30","2",1453,"UNIVERSIDAD DE GUADALAJARA",1,0,0,0,"4",6,1,4,32,6,425,0,9,"1","1",3,3,15000,1
"1625",596,24,"1","26","2",2833,"UNIVERSIDAD POLITÉCNICA DE SAN LUIS POTOSÍ",1,6,8,2,"4",5,1,4,64,1,193,0,7,"1","1",3,3,15000,1
"1634",606,9,"2","31","1",2169,"INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY",0,10,5,6,"4",5,1,8,224,150,420,3,4,"0","1",4,3,18000,1
"1638",611,9,"1","30","1",514,"ESCUELA BANCARIA Y COMERCIAL, S.C.",1,6,3,0,"4",4,1,2,65,0,66,2,4,"0","1",3,3,15000,1
"1647",816,9,"2","34","1",620,"UNIVERSIDAD DEL TEPEYAC A.C.",1,3,6,2,"4",11,1,6,144,18,500,1,3,"0","1",4,4,18000,1
"1651",850,9,"2","32","1",1635,"UNIVERSIDAD DEL VALLE DE MÉXICO",1,4,9,4,"3",10,1,11,95,10,500,1,10,"0","0",4,4,25000,1
"1652",851,9,"1","35","2",2132,"ESCUELA SUPERIOR DE NEGOCIOS DE MONTERREY",1,3,6,5,"4",10,1,8,73,0,23,0,4,"0","1",4,4,20000,1
"1654",891,9,"1","32","1",2169,"INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY",1,6,6,2,"4",5,1,8,168,14,500,0,6,"0","0",3,3,18000,1
"1677",1035,9,"2","31","1",1917,"UNIVERSIDAD MICHOACANA DE SAN NICOLÁS DE HIDALGO",1,0,0,1,"4",2,1,5,41,0,7,0,9,"1","1",3,3,13000,1
"1678",1036,2,"1","32","1",2897,"UNIVERSIDAD AUTÓNOMA DE SINALOA",1,0,1,0,"4",7,1,6,34,0,234,0,9,"1","1",4,4,30000,1
"1680",1038,9,"1","31","2",1054,"INSTITUTO TECNOLÓGICO SUPERIOR DE SALVATIERRA",1,0,3,0,"4",9,1,5,66,0,142,0,4,"1","1",3,3,16000,1
"1683",1043,9,"2","30","1",1008,"JUSTO SIERRA",1,3,4,1,"4",7,1,11,138,0,8,1,9,"0","1",4,3,16000,1
"1685",1045,9,"2","31","1",2169,"INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY",1,6,9,2,"2",7,1,8,58,0,77,2,4,"0","1",4,4,18000,0
"1687",1047,9,"1","33","1",2890,"INSTITUTO TECNOLÓGICO DE CULIACÁN",1,1,3,1,"2",8,1,6,58,1,115,0,7,"1","1",4,4,40000,0
"1694",1056,9,"2","29","1",1026,"UNIVERSIDAD LATINA DE MÉXICO",1,10,10,3,"4",6,1,7,109,14,478,0,3,"0","1",3,3,16000,1
"1697",1059,9,"2","33","1",3039,"UNIVERSIDAD JUÁREZ AUTÓNOMA DE TABASCO",1,0,3,0,"2",6,1,8,49,0,37,0,1,"1","1",3,3,18000,0
"1698",1060,9,"1","31","2",1453,"UNIVERSIDAD DE GUADALAJARA",1,6,5,1,"4",10,1,4,108,0,82,0,4,"1","1",3,3,16000,1
"1703",1066,9,"2","31","2",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",0,7,7,0,"4",4,1,10,58,34,374,0,3,"1","1",2,2,13000,1
"1731",1115,9,"1","30","1",336,"ESCUELA DE ENFERMERÍA",1,3,4,1,"4",5,1,7,55,0,92,0,9,"1","1",2,2,12000,1
"1732",1116,9,"1","31","1",1171,"ESCUELA NORMAL",1,2,3,5,"4",10,1,10,72,0,8,0,1,"1","1",2,2,11500,1
"1739",1125,9,"1","31","2",2213,"UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN",0,0,1,4,"4",11,1,6,178,28,500,1,4,"1","1",4,3,20000,1
"1761",1153,9,"1","31","2",712,"UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO",0,0,0,0,"4",7,1,3,32,0,151,0,5,"1","1",2,1,10500,1
"1764",1159,9,"1","35","1",693,"INSTITUTO POLITÉCNICO NACIONAL",1,4,5,3,"2",7,1,7,134,18,500,1,5,"1","1",3,2,11500,0
"1774",1173,9,"2","30","1",1453,"UNIVERSIDAD DE GUADALAJARA",1,7,15,7,"4",5,1,5,159,163,500,0,3,"1","1",2,1,10500,1
"1795",1198,9,"2","29","1",651,"UNIVERSIDAD TECNOLÓGICA DE MÉXICO",1,10,13,6,"4",7,1,6,181,261,500,2,3,"0","1",2,1,10500,1
"1797",1200,2,"2","31","1",661,"UNIVERSIDAD HUMANITAS S.C.",0,12,9,1,"4",10,1,7,79,25,500,1,3,"0","1",4,4,40000,1
"1811",1218,9,"2","34","2",712,"UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO",1,0,2,1,"2",2,1,5,62,0,174,0,8,"1","1",2,2,11000,0
"1830",1239,9,"1","31","1",1453,"UNIVERSIDAD DE GUADALAJARA",1,0,4,0,"4",5,1,3,37,0,76,0,3,"1","0",2,2,11000,1
"1831",1241,9,"1","29","2",615,"UNIVERSIDAD DE LONDRES",1,0,7,1,"4",8,1,5,48,0,138,0,4,"0","1",2,2,11000,1
"1833",1243,9,"2","30","1",712,"UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO",1,1,2,0,"4",9,1,3,62,2,30,1,4,"1","1",2,2,10500,1
"1852",1267,9,"2","30","2",855,"UNIVERSIDAD DE COLIMA",1,3,3,3,"4",8,1,4,51,3,48,0,2,"1","1",3,2,10500,1
"1857",1273,9,"2","33","2",712,"UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO",1,3,5,0,"3",4,1,5,56,1,282,0,3,"1","0",3,2,11000,1
"1874",1297,9,"2","35","2",766,"UNIVERSIDAD AUTÓNOMA DE LA LAGUNA",1,2,2,1,"1",2,1,7,42,5,500,0,3,"0","0",2,1,10500,0
"1913",1346,9,"1","31","2",1996,"UNIVERSIDAD INTERNACIONAL",1,2,4,2,"4",2,1,4,25,1,85,0,4,"0","0",2,2,11000,1
"1915",1348,9,"2","31","2",578,"INSTITUTO MARILLAC, A.C.",1,2,3,0,"4",5,1,3,73,0,33,0,9,"0","1",3,2,11500,1
"1920",1353,9,"2","33","1",627,"UNIVERSIDAD IBEROAMERICANA - CIUDAD DE MÉXICO",1,7,11,1,"4",13,1,8,205,183,500,3,3,"0","1",4,4,20000,1
"1925",1359,9,"2","32","1",712,"UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO",1,6,3,0,"4",6,1,9,109,48,500,0,5,"1","1",2,1,11000,1
"1930",1366,9,"1","36","2",712,"UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO",1,0,0,1,"4",7,1,5,60,5,347,0,7,"1","1",2,2,10500,1
"1940",1377,9,"1","36","1",627,"UNIVERSIDAD IBEROAMERICANA - CIUDAD DE MÉXICO",1,8,6,5,"4",7,1,18,151,55,500,2,4,"0","1",4,3,15000,1
"1946",1385,9,"2","31","1",627,"UNIVERSIDAD IBEROAMERICANA - CIUDAD DE MÉXICO",1,10,10,7,"4",7,1,9,175,108,500,0,4,"0","1",2,2,11000,1
"1947",1386,9,"1","30","2",2517,"UNIVERSIDAD DEL VALLE DE PUEBLA",1,0,2,2,"4",5,1,2,61,0,149,1,7,"0","1",3,2,12000,1
"1949",1388,9,"1","31","1",710,"UNIVERSIDAD AUTÓNOMA METROPOLITANA",1,6,6,3,"4",10,1,12,151,12,213,1,2,"1","1",4,4,25000,1
"1954",1393,9,"2","32","2",3273,"INSTITUTO CULINARIO DE VERACRUZ",1,1,9,3,"1",13,1,7,147,9,500,3,10,"0","1",4,4,30000,0
"1956",1397,9,"1","30","1",2169,"INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY",0,6,3,5,"4",6,1,9,219,43,500,2,2,"0","1",4,4,25000,1
"1965",1408,9,"1","33","1",2135,"INSTITUTO CULINARIO DE MÉXICO",1,7,9,8,"4",11,1,8,70,8,277,0,4,"0","1",3,2,10500,1
"1966",1409,9,"1","31","2",1928,"INSTITUTO TECNOLÓGICO DE ZITÁCUARO",1,0,0,0,"4",8,1,4,38,0,205,0,7,"1","1",3,3,20000,1
"1967",1410,9,"2","31","1",2169,"INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY",1,9,11,4,"4",4,1,7,129,57,500,0,7,"0","1",2,1,10500,1
"1971",1415,9,"2","31","1",712,"UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO",1,7,0,1,"4",7,1,6,65,4,500,2,1,"1","1",2,2,10500,1
