"","id","entidad","sexo","edad","nivel_esc","esc_cve","esc_nombre","lenguaje","cognitivas","sociales","tecnicas","puesto","year_exp","bin_year_exp","trabajos_n","palabras_n","validaciones_n","contactos_n","rimbo_n","carrera_cve","sostenimiento","experiencia","p1","p2","p3","puesto_1"
"229",3196,15,"1","35","2",170,"UNIVERSIDAD AUTÓNOMA DE BAJA CALIFORNIA SUR",1,0,0,2,"4",7,1,8,56,2,48,0,2,"1","0",3,3,16000,1
"243",3212,9,"1","35","2",329,"UNIVERSIDAD VALLE DEL GRIJALVA",1,0,1,1,"4",11,1,10,58,3,394,3,7,"0","1",4,4,20000,1
"245",3214,15,"1","33","1",329,"UNIVERSIDAD VALLE DEL GRIJALVA",1,0,1,0,"4",5,1,10,49,0,174,2,4,"0","1",3,2,10500,1
"247",3216,27,"2","29","1",329,"UNIVERSIDAD VALLE DEL GRIJALVA",1,2,0,0,"3",9,1,10,48,8,58,0,4,"0","1",3,3,15000,1
"249",3218,9,"1","35","2",329,"UNIVERSIDAD VALLE DEL GRIJALVA",0,2,0,0,"4",10,1,10,42,1,500,3,4,"0","0",3,3,16000,1
"250",3219,22,"1","34","2",329,"UNIVERSIDAD VALLE DEL GRIJALVA",1,0,6,3,"4",8,1,9,40,7,500,0,7,"0","1",1,1,8000,1
"263",3232,30,"2","35","1",3103,"UNIVERSIDAD DEL GOLFO",1,4,1,0,"4",10,1,5,37,10,500,0,4,"0","1",3,3,15000,1
"270",3240,30,"2","33","2",3322,"UNIVERSIDAD DE ORIENTE, A.C.",0,0,1,0,"4",10,1,10,30,14,80,0,2,"0","1",3,3,14000,1
"276",3246,9,"1","35","2",3322,"UNIVERSIDAD DE ORIENTE, A.C.",0,0,0,0,"4",10,1,8,62,0,500,0,2,"0","1",3,3,16000,1
"296",3267,2,"1","31","1",144,"INSTITUTO TECNOLÓGICO DE TIJUANA",1,4,1,0,"2",5,1,6,83,0,69,1,6,"1","1",3,3,13000,0
"304",3275,15,"2","34","2",1757,"TECNOLÓGICO DE ESTUDIOS SUPERIORES DE ECATEPEC",0,2,5,0,"4",5,1,10,35,0,27,0,6,"1","1",3,2,13000,1
"305",3277,9,"1","35","2",1757,"TECNOLÓGICO DE ESTUDIOS SUPERIORES DE ECATEPEC",1,2,2,1,"4",9,1,14,69,29,393,0,6,"1","1",5,5,10500,1
"307",3279,9,"2","33","2",1757,"TECNOLÓGICO DE ESTUDIOS SUPERIORES DE ECATEPEC",1,3,2,0,"4",4,1,4,20,2,87,0,6,"1","1",2,2,12000,1
"309",3281,9,"1","32","2",1757,"TECNOLÓGICO DE ESTUDIOS SUPERIORES DE ECATEPEC",1,0,0,2,"4",6,1,10,41,0,54,0,7,"1","1",3,3,15000,1
"310",3282,9,"1","30","2",1757,"TECNOLÓGICO DE ESTUDIOS SUPERIORES DE ECATEPEC",0,0,1,4,"4",7,1,10,35,0,112,0,7,"1","0",4,4,10400,1
